State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Kerala,Thiruvananthapuram,Parassala,Cluster beans,Cluster Beans,FAQ,2025-04-06,3000.0,3200.0,3000.0
Kerala,Thiruvananthapuram,Parassala,Drumstick,Drumstick,FAQ,2025-04-06,2000.0,2200.0,2000.0
Madhya Pradesh,Alirajpur,Jobat,Wheat,Wheat,FAQ,2025-04-06,2425.0,2550.0,2425.0
Madhya Pradesh,Alirajpur,Jobat,Wheat,Wheat Mix,FAQ,2025-04-06,2425.0,2425.0,2425.0
Madhya Pradesh,Anupur,Anuppur,Paddy(Dhan)(Common),Dhan,Non-FAQ,2025-04-06,2300.0,2300.0,2300.0
Madhya Pradesh,Ashoknagar,Isagarh,Wheat,Sharbati,FAQ,2025-04-06,2600.0,2800.0,2800.0
Madhya Pradesh,Badwani,Badwani,Kabuli Chana(Chickpeas-White),Dollar Gram,FAQ,2025-04-06,9000.0,9508.0,9400.0
Madhya Pradesh,Badwani,Sendhwa,Cotton,Without Ginned Cotton,FAQ,2025-04-06,6499.0,6800.0,6800.0
Madhya Pradesh,Badwani,Sendhwa,Wheat,Wheat,FAQ,2025-04-06,2745.0,2900.0,2900.0
Madhya Pradesh,Bhind,Lahar,Bengal Gram(Gram)(Whole),Gram,FAQ,2025-04-06,5705.0,5705.0,5705.0
Madhya Pradesh,Bhind,Lahar,Wheat,Wheat,FAQ,2025-04-06,2359.0,2407.0,2380.0
Madhya Pradesh,Bhind,Mehgaon,Wheat,Wheat,FAQ,2025-04-06,2340.0,2340.0,2340.0
Madhya Pradesh,Burhanpur,Burhanpur,Bengal Gram(Gram)(Whole),Gram,FAQ,2025-04-06,5500.0,5521.0,5500.0
Madhya Pradesh,Burhanpur,Burhanpur,Maize,Local,FAQ,2025-04-06,1700.0,1750.0,1725.0
Madhya Pradesh,Chhatarpur,Bijawar,Wheat,Mill Quality,FAQ,2025-04-06,2600.0,2601.0,2600.0
Madhya Pradesh,Damoh,Damoh,Lentil (Masur)(Whole),Masur Dal,FAQ,2025-04-06,6065.0,6100.0,6100.0
Madhya Pradesh,Dewas,Haatpipliya,Wheat,Wheat,FAQ,2025-04-06,2423.0,2481.0,2481.0
Madhya Pradesh,Dhar,Badnawar,Wheat,Lokwan,FAQ,2025-04-06,2561.0,2561.0,2561.0
Madhya Pradesh,Dhar,Badnawar,Wheat,Wheat,FAQ,2025-04-06,2400.0,2580.0,2450.0
Madhya Pradesh,Dhar,Gandhwani,Maize,Local,FAQ,2025-04-06,1350.0,1900.0,1700.0
Madhya Pradesh,Dhar,Kukshi,Wheat,Wheat,FAQ,2025-04-06,2400.0,2600.0,2400.0
Madhya Pradesh,Dindori,Dindori,Paddy(Dhan)(Common),Other,Non-FAQ,2025-04-06,1870.0,1990.0,1950.0
Madhya Pradesh,Guna,Guna,Wheat,Sharbati,FAQ,2025-04-06,2450.0,2800.0,2800.0
Madhya Pradesh,Hoshangabad,Itarsi,Paddy(Dhan)(Common),Dhan,FAQ,2025-04-06,2650.0,2750.0,2710.0
Madhya Pradesh,Hoshangabad,Semriharchand,Paddy(Dhan)(Common),1121,FAQ,2025-04-06,2920.0,2920.0,2920.0
Madhya Pradesh,Indore,Sanwer,Wheat,Wheat,FAQ,2025-04-06,2400.0,2471.0,2471.0
Madhya Pradesh,Jabalpur,Jabalpur,Wheat,Wheat,Non-FAQ,2025-04-06,2425.0,2475.0,2460.0
Madhya Pradesh,Jhabua,Jhabua,Cotton,Without Ginned Cotton,FAQ,2025-04-06,7225.0,7675.0,7551.0
Madhya Pradesh,Jhabua,Jhabua,Cotton,Without Ginned Cotton,Non-FAQ,2025-04-06,7000.0,7600.0,7551.0
Madhya Pradesh,Jhabua,Jhabua,Maize,Maize/Corn-Organic,Non-FAQ,2025-04-06,2100.0,2100.0,2100.0
Madhya Pradesh,Jhabua,Thandla,Soyabean,Yellow,FAQ,2025-04-06,4000.0,4000.0,4000.0
Madhya Pradesh,Jhabua,Thandla,Wheat,Local,FAQ,2025-04-06,2475.0,2475.0,2475.0
Madhya Pradesh,Jhabua,Thandla,Wheat,Mill Quality,FAQ,2025-04-06,2500.0,2500.0,2500.0
Madhya Pradesh,Khandwa,Khandwa,Onion,Local,FAQ,2025-04-06,500.0,600.0,600.0
Madhya Pradesh,Khandwa,Pandhana,Wheat,Wheat,FAQ,2025-04-06,2425.0,2450.0,2450.0
Madhya Pradesh,Khargone,Kasrawad,Maize,Yellow,FAQ,2025-04-06,1600.0,1870.0,1700.0
Madhya Pradesh,Mandla,Mandla,Green Peas,Pea,FAQ,2025-04-06,3100.0,3110.0,3100.0
Madhya Pradesh,Morena,Sabalgarh(F&V),Green Chilli,Green Chilly,FAQ,2025-04-06,900.0,1000.0,950.0
Madhya Pradesh,Panna,Panna,Bengal Gram(Gram)(Whole),Gram,Non-FAQ,2025-04-06,5800.0,5850.0,5800.0
Madhya Pradesh,Panna,Panna,Green Peas,Pea,FAQ,2025-04-06,3350.0,3600.0,3400.0
Madhya Pradesh,Rajgarh,Biaora,Lentil (Masur)(Whole),Masur Dal,Non-FAQ,2025-04-06,6100.0,6100.0,6100.0
Madhya Pradesh,Rajgarh,Biaora,Wheat,Wheat,FAQ,2025-04-06,2240.0,2425.0,2320.0
Madhya Pradesh,Rajgarh,Jeerapur,Wheat,Wheat,FAQ,2025-04-06,2325.0,2350.0,2350.0
Madhya Pradesh,Rajgarh,Sarangpur,Onion,Local,Non-FAQ,2025-04-06,500.0,800.0,800.0
Madhya Pradesh,Ratlam,A lot,Wheat,Lokwan,FAQ,2025-04-06,2400.0,2400.0,2400.0
